,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,Breathless,1960,Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Daniel Boulanger', 'Henri-Jacques Huet', 'Roger Hanin', 'Van Doude', 'Claude Mansard', 'Liliane Dreyfus', 'Michel Fabre', 'Jean-Pierre Melville', 'Jean-Luc Godard', 'Richard Balducci', 'André S. Labarthe', 'François Moreuil', 'Jacques Lourcelles', 'Liliane Robin', 'Gérard Brach', 'Philippe de Broca', 'José Bénazéraf', 'Jean Domarchi', 'Jean Douchet', 'Raymond Huntley', 'Louiguy', 'Michel Mourlet', 'Guido Orlando', 'Madame Paul', 'Jean-Louis Richard', 'Jacques Serguine', 'Jacques Siclier', 'Virginie Ullmann', 'Emile Villion']",,3.88,https://letterboxd.com//film/breathless/
1,The 400 Blows,1959,François Truffaut,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy', 'Georges Flamant', 'Patrick Auffay', 'Robert Beauvais', 'Yvonne Claudie', 'Pierre Repp', 'Guy Decomble', 'Daniel Couturier', 'François Nocher', 'Richard Kanayan', 'Renaud Fontanarosa', 'Michel Girard', 'Serge Moati', 'Bernard Abbou', 'Jean-François Bergouignan', 'Michel Lesignor', 'Jean-Claude Brialy', 'Jeanne Moreau', 'Philippe de Broca', 'François Truffaut', 'Jacques Demy', 'Bouchon']",,4.24,https://letterboxd.com//film/the-400-blows/
2,Touki Bouki,1973,Djibril Diop Mambéty,"['Magaye Niang', 'Myriam Niang', 'Christoph Colomb', 'Mustapha Ture', 'Aminata Fall', 'Ousseynou Diop', 'Ndou Labia']",,3.78,https://letterboxd.com//film/touki-bouki/
3,Au Hasard Balthazar,1966,Robert Bresson,"['Anne Wiazemsky', 'Walter Green', 'François Lafarge', 'Jean-Claude Guilbert', 'Philippe Asselin', 'Pierre Klossowski', 'Nathalie Joyaut', 'Marie-Claire Fremont', 'Jean-Joël Barbier']",,3.99,https://letterboxd.com//film/au-hasard-balthazar/
