,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,Pearl,2022,Ti West,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland', 'Emma Jenkins-Purro', 'Alistair Sewell', 'Amelia Reid', 'Gabe McDonnell', 'Lauren Stewart', 'Todd Rippon', 'Grace Acheson']",,3.92,https://letterboxd.com//film/pearl-2022/
1,Gertrud,1964,Carl Theodor Dreyer,"['Nina Pens Rode', 'Bendt Rothe', 'Ebbe Rode', 'Baard Owe', 'Axel Strøbye', 'Karl Gustav Ahlefeldt', 'Vera Gebuhr', 'Lars Knutzon', 'Anna Malberg', 'Edouard Mielche', 'William Knoblauch', 'Valsø Holm', 'Carl Johan Hviid']",,3.82,https://letterboxd.com//film/gertrud/
2,Macario,1960,Roberto Gavaldón,"['Ignacio López Tarso', 'Pina Pellicer', 'Enrique Lucero', 'Mario Alberto Rodríguez', 'José Gálvez', 'Eduardo Fajardo', 'Consuelo Frank', 'José Dupeyrón', 'Celia Tejeda', 'Luis Aceves Castañeda', 'Miguel Arenas', 'Alfredo Wally Barrón', 'Queta Carrasco', 'Felipe de Flores', 'Alicia del Lago', 'Manuel Dondé', 'Elizabeth Dupeyrón', 'Enedina Díaz de León', 'Enrique García Álvarez', 'Leonor Gómez', 'Sonia Infante', 'Inés Murillo', 'Manuel Noriega', 'Francisco Pando', 'Lidia Franco', 'José Luis Jiménez']",,4.34,https://letterboxd.com//film/macario/
3,Beau Is Afraid,2023,Ari Aster,"['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan', 'Parker Posey', 'Nathan Lane', 'Armen Nahapetian', 'Stephen McKinley Henderson', 'Richard Kind', 'Kylie Rogers', 'Denis Ménochet', 'Zoe Lister-Jones', 'Julia Antonelli', 'Hayley Squires', 'Julian Richings', 'Bill Hader', 'Alicia Rosario', 'James Cvetkovski', 'Catherine Bérubé', 'Stephanie Herrera', 'Bradley Fisher', 'Peter Seaborne', 'Michael Esper', 'Manuel Tadros', 'Karl Roy', 'Anana Rydvald', 'Cat Lemieux', 'Tristan D. Lalla', 'Marc-André Brisebois', 'Tyrone Benskin', 'Ernest-James Chuipka', 'Archie Madekwe', 'Greg Halpin', 'Luis Oliva', 'Charles Hardy', 'Marie-Michelle Garon', 'Maev Beaty', 'Patrick Kwok-Choon', 'Michael Gandolfini', 'Théodore Pellerin', 'Mike Taylor', 'Luke Alexander James McPhail', 'Ryan S. Hill', 'Bentley Hughes', 'Kwasi Songui', 'Sylvain Landry', 'Emmanuel Schwartz', 'Lily Bird', 'Arthur Holden', 'François Paquette', 'Alex Bisping', 'Lucas Gosselin', 'Joe Cobden', 'Harry Standjofski', 'Isabelle Brabant', 'Tarah Schwartz', 'Barry Morgan', 'David Mamet', 'John Walsh', 'Karim Bourara', 'Lee Villeneuve', 'Geneviève Marin', 'Julien Fortin', 'Luz Tercero', 'Marc-André Casavant']",,3.59,https://letterboxd.com//film/beau-is-afraid/
