,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,The 400 Blows,1959,François Truffaut,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy', 'Georges Flamant', 'Patrick Auffay', 'Robert Beauvais', 'Yvonne Claudie', 'Pierre Repp', 'Guy Decomble', 'Daniel Couturier', 'François Nocher', 'Richard Kanayan', 'Renaud Fontanarosa', 'Michel Girard', 'Serge Moati', 'Bernard Abbou', 'Jean-François Bergouignan', 'Michel Lesignor', 'Jean-Claude Brialy', 'Jeanne Moreau', 'Philippe de Broca', 'François Truffaut', 'Jacques Demy', 'Bouchon']",,4.24,https://letterboxd.com//film/the-400-blows/
1,Pearl,2022,Ti West,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland', 'Emma Jenkins-Purro', 'Alistair Sewell', 'Amelia Reid', 'Gabe McDonnell', 'Lauren Stewart', 'Todd Rippon', 'Grace Acheson']",,3.92,https://letterboxd.com//film/pearl-2022/
2,Gertrud,1964,Carl Theodor Dreyer,"['Nina Pens Rode', 'Bendt Rothe', 'Ebbe Rode', 'Baard Owe', 'Axel Strøbye', 'Karl Gustav Ahlefeldt', 'Vera Gebuhr', 'Lars Knutzon', 'Anna Malberg', 'Edouard Mielche', 'William Knoblauch', 'Valsø Holm', 'Carl Johan Hviid']",,3.82,https://letterboxd.com//film/gertrud/
3,Breathless,1960,Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Daniel Boulanger', 'Henri-Jacques Huet', 'Roger Hanin', 'Van Doude', 'Claude Mansard', 'Liliane Dreyfus', 'Michel Fabre', 'Jean-Pierre Melville', 'Jean-Luc Godard', 'Richard Balducci', 'André S. Labarthe', 'François Moreuil', 'Jacques Lourcelles', 'Liliane Robin', 'Gérard Brach', 'Philippe de Broca', 'José Bénazéraf', 'Jean Domarchi', 'Jean Douchet', 'Raymond Huntley', 'Louiguy', 'Michel Mourlet', 'Guido Orlando', 'Madame Paul', 'Jean-Louis Richard', 'Jacques Serguine', 'Jacques Siclier', 'Virginie Ullmann', 'Emile Villion']",,3.88,https://letterboxd.com//film/breathless/
