,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,Au Hasard Balthazar,1966,Robert Bresson,"['Anne Wiazemsky', 'Walter Green', 'François Lafarge', 'Jean-Claude Guilbert', 'Philippe Asselin', 'Pierre Klossowski', 'Nathalie Joyaut', 'Marie-Claire Fremont', 'Jean-Joël Barbier']",,3.99,https://letterboxd.com//film/au-hasard-balthazar/
1,Touki Bouki,1973,Djibril Diop Mambéty,"['Magaye Niang', 'Myriam Niang', 'Christoph Colomb', 'Mustapha Ture', 'Aminata Fall', 'Ousseynou Diop', 'Ndou Labia']",,3.78,https://letterboxd.com//film/touki-bouki/
2,Breathless,1960,Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Daniel Boulanger', 'Henri-Jacques Huet', 'Roger Hanin', 'Van Doude', 'Claude Mansard', 'Liliane Dreyfus', 'Michel Fabre', 'Jean-Pierre Melville', 'Jean-Luc Godard', 'Richard Balducci', 'André S. Labarthe', 'François Moreuil', 'Jacques Lourcelles', 'Liliane Robin', 'Gérard Brach', 'Philippe de Broca', 'José Bénazéraf', 'Jean Domarchi', 'Jean Douchet', 'Raymond Huntley', 'Louiguy', 'Michel Mourlet', 'Guido Orlando', 'Madame Paul', 'Jean-Louis Richard', 'Jacques Serguine', 'Jacques Siclier', 'Virginie Ullmann', 'Emile Villion']",,3.88,https://letterboxd.com//film/breathless/
3,The 400 Blows,1959,François Truffaut,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy', 'Georges Flamant', 'Patrick Auffay', 'Robert Beauvais', 'Yvonne Claudie', 'Pierre Repp', 'Guy Decomble', 'Daniel Couturier', 'François Nocher', 'Richard Kanayan', 'Renaud Fontanarosa', 'Michel Girard', 'Serge Moati', 'Bernard Abbou', 'Jean-François Bergouignan', 'Michel Lesignor', 'Jean-Claude Brialy', 'Jeanne Moreau', 'Philippe de Broca', 'François Truffaut', 'Jacques Demy', 'Bouchon']",,4.24,https://letterboxd.com//film/the-400-blows/
4,Imitation of Life,1959,Douglas Sirk,"['Lana Turner', 'John Gavin', 'Sandra Dee', 'Susan Kohner', 'Robert Alda', ""Dan O'Herlihy"", 'Juanita Moore', 'Karin Dicker', 'Terry Burnham', 'John Vivyan', 'Lee Goodman', 'Ann Robinson', 'Troy Donahue', 'Sandra Gould', 'David Tomack', 'Joel Fluellen', 'Jack Weston', 'Billy House', 'Maida Severn', 'Than Wyenn', 'Peg Shirley', 'Mahalia Jackson', 'Bess Flowers', 'Frank Baker', 'Alex Ball', 'George Barrows', 'Chet Brandenburg', 'Teddy Buckner', 'George Calliga', 'Steve Carruthers', 'Richard Collier', 'Paul Cristo', 'Joe Darensbourg', 'Robert Darin', 'Mike De Lay', 'Elinor Donahue', 'Adolf Eichmann', 'Cicely Evans', 'Myrna Fahey', 'George Ford', 'Tedd Hadfield', 'Lynne Hunter', 'Nelson Leigh', 'Paul Levitt', 'John McNamara', 'Joseph Mell', 'Eddie Parker', 'Waclaw Rekwart', 'Cosmo Sardo', 'Jeffrey Sayre', 'Cap Somers', 'Ted Thorpe', 'Napoleon Whiting']",,3.97,https://letterboxd.com//film/imitation-of-life-1959/
