,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
10,Elvis,2022,Baz Luhrmann,"['Austin Butler', 'Tom Hanks', 'Olivia DeJonge', 'Helen Thomson', 'Richard Roxburgh', 'Kelvin Harrison Jr.', 'David Wenham', 'Kodi Smit-McPhee', 'Luke Bracey', 'Dacre Montgomery', 'Leon Ford', 'Gary Clark Jr.', 'Yola', 'Natasha Bassett', 'Xavier Samuel', 'Adam Dunn', 'Alton Mason', 'Shonka Dukureh', 'David Gannon', 'Shannon Sanders', 'Charles Grounds', 'Josh McConville', 'Kate Mulvany', 'Gareth Davies', 'Chaydon Jay', 'Christian Kisando', 'John Mukristayo', 'Miles Burton', 'Gad Banza', 'Aristene Kisando', 'Senayt Mebrahtu', 'Mariama Princess Andrews', 'Sharon Brooks', 'Nicholas Bell', 'Anthony Phelan', 'Sandro Colarelli', 'Cle Morgan', 'Charles Allen', 'Natalie Bassingthwaighte', 'Liz Blackett', 'Mike Bingaman', 'Christian McCarty', 'Tony Nixon', 'Andrea Moor', 'Mark Leonard Winter', 'Hugh Parker', 'Thomas Larkin', 'Hilton Hyppolite Denis', 'Christopher Sommers', 'Brad Leaver', 'Simon Mallory', 'Terepai Richmond', 'Alex Knight', 'Jordan A. Holland', 'Lenesha Randolph', 'Elizabeth Cullen', 'Angie Milliken', 'Luke Corrin Care', 'Jack McGirr', 'Miranda Frangou', 'Lakota Johnson', 'Ruby Gonzales-Judd', 'Greg Powell', 'Patrick Shearer', 'Sarah Ogden', 'Iain Gardiner', 'Melina Vidler', 'Traneshia Chiles', 'Lauren McClinton', 'Gary Hale', 'Kellee Halford', 'Angela Hill', 'Jamiah Hudson', 'Norris Jones', 'Stephen R. Ladson', 'Alfreda McCrary', 'Angela McCrary', 'Beverly Ann McCrary', ""Keb' Mo'"", 'Tamica Nicole', 'Marqo Patton', 'Robert Randolph', 'Calvin Settles II', 'Calvin V. Settles Sr.', 'Ira Wayne Settles Sr.', 'Odessa L. Settles', 'Sara Settles', 'Shirley M. Settles', 'Jacqueline Smith-Jefferson', 'Torshia Suggs', 'Cameron Keith Walls', 'Andrea Baker', 'Libe Barer', 'Doug Burch', 'Cathy Cavadini', 'Elvis Presley']",,3.46,https://letterboxd.com//film/elvis-2022/
11,Decision to Leave,2022,Park Chan-wook,"['Tang Wei', 'Park Hae-il', 'Lee Jung-hyun', 'Park Yong-woo', 'Go Kyung-pyo', 'Kim Shin-young', 'Yoo Seung-mok', 'Jung Yi-seo', 'Jung Young-sook', 'Lee Hak-joo', 'Park Jeong-min', 'Jeong Ha-dam', 'Seo Hyun-woo', 'Yoo Teo', 'Jeong So-ri', 'Shin An-jin', 'Kim Do-yeon', 'Go Min-si', 'Cha Seo-won', 'Joo In-young', 'Choi Sun-ja', 'Jin Yong-uk', 'Choi Dae-hoon', 'Kim Mi-hwa', 'Kwak Eun-jin', 'Ahn Seong-bong', 'Lee Yong-nyeo', 'Kim Gook-jin', 'Kim Sang-hyun', 'Yoo In-hye']",4.5,3.91,https://letterboxd.com//film/decision-to-leave/
12,A Short Story,2022,Bi Gan,"['Guohua Chen', 'Chen Yongzhong', 'Huan Huang', 'Long Zezhi', 'Melbourne', 'Tan Zhuo', 'Kongkong Wu', 'Lixun Xie', 'Lizhou Xie']",2.5,3.68,https://letterboxd.com//film/a-short-story-2022/
13,RRR,2022,S. S. Rajamouli,"['N. T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Shriya Saran', 'Samuthirakani', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris', 'Edward Sonnenblick', 'Makrand Deshpande', 'Chatrapathi Sekhar', 'Rajiv Kanakala', 'Rahul Ramakrishna', 'Ahmareen Anjum', 'Twinkle Sharma', 'Varun Buddhadev', 'Spandan Chaturvedi', 'R. Bhakti Klein', 'Mark Bennington', 'Gaurav Pareek', ""Alexx O'Nell"", 'S. S. Rajamouli', 'Kirron Arya', 'Akash Boro', 'Eduard Buhac', 'Narendra Singh Dhami', 'Oleg Karpenko', 'Ivan Kostadinov', 'Jason Yeboa']",,4.17,https://letterboxd.com//film/rrr/
14,We Feed People,2022,Ron Howard,"['Carlota Andrés', 'Inés Andrés', 'José Andrés Puerta', 'Joe Biden', 'Sam Bloch', 'Bill Clinton', 'Patricia Fernandez de la Cruz', 'Robert Egger', 'Craig Ferguson', 'David Letterman', 'Nate Mook', 'Kyle Pounders', 'Trevor Riggen', 'Carole Sugarman', 'Maisie Wilhelm', 'Richard Wolffe', 'Ferran Adrià', 'Bobby Flay', 'Martha Stewart', 'Donald Trump', 'Melania Trump']",,3.57,https://letterboxd.com//film/we-feed-people/
15,The Bad Guys,2022,Pierre Perifel,"['Sam Rockwell', 'Marc Maron', 'Awkwafina', 'Craig Robinson', 'Anthony Ramos', 'Richard Ayoade', 'Zazie Beetz', 'Alex Borstein', 'Lilly Singh', 'Barbara Goodson', 'Dina Morrone', 'Michael Godere', 'Kelly Cooney', 'Walt Dohrn', 'David P. Smith', 'John Venzon', 'Jesse Averna']",3.0,3.49,https://letterboxd.com//film/the-bad-guys-2022/
16,Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan', 'James Hong', 'Jamie Lee Curtis', 'Tallie Medel', 'Jenny Slate', 'Harry Shum Jr.', 'Biff Wiff', 'Sunita Mani', 'Aaron Lazar', 'Brian Le', 'Andy Le', 'Neravana Cabral', 'Chelsey Goldsmith', 'Craig Henningsen', 'Anthony Molinari', 'Dan Brown', 'Panuvat Anthony Nanakornpanom', 'Cara Marie Chooljian', 'Randall Archer', 'Efka Kvaraciejus', 'Peter Banifaz', 'Audrey Wasilewski', 'Li Jing', 'Dylan Henry Lau', 'Boon Pin Koh', 'Timothy Eulich', 'Daniel Scheinert', 'Michiko Nishiwaki', 'Jane Lui', 'Jason Hamer', 'Timothy Ralston', 'Hiroshi Yada', 'Randy Newman', 'Daniel Kwan', 'Elle Alexander', 'Emmett Ferguson', 'Waymond Lee', 'Amanda MacLeod', 'Pablo Ramos', 'D.Y. Sao', 'Freya Fox']",,4.41,https://letterboxd.com//film/everything-everywhere-all-at-once/
17,Turning Red,2022,Domee Shi,"['Rosalie Chiang', 'Sandra Oh', 'Ava Morse', 'Hyein Park', 'Maitreyi Ramakrishnan', 'Orion Lee', 'Wai Ching Ho', 'Tristan Allerick Chen', 'James Hong', 'Lori Tan Chinn', 'Mia Tagano', 'Sherry Cola', 'Lillian Lim', 'Jordan Fisher', ""Finneas O'Connell"", 'Topher Ngo', 'Grayson Villanueva', 'Josh Levi', 'Sasha Roiz', 'Addie Chandler', 'Lily Sanfelippo', 'Anne-Marie', 'Evan Agos', 'Trinity Bliss', 'Devin Bright', 'Kimberly Brooks', 'Ian James Corlett', 'Juliet Donenfeld', 'Terri Douglas', 'Ellen Dubin', 'Alison Fernandez', 'Jack Fisher', 'Erin Fitzgerald', 'Poon Fong-Fong', 'Hadley Gannaway', 'David Hayter', 'Karen Huie', 'Sean T. Krishnan', 'Arif S. Kinchen', 'Paul Kwo', 'James Taku Leung', 'Lydia Look', 'David Chen', 'Kim Mai Guest', 'Caleb Jeon', 'Ethan Loh', 'Noel Mason', 'Jason Maybaum', 'Jaiden McLeod', 'Ulka Simone Mohanty', 'Iara Nemirovsky', 'Capri Oliver', 'Benjamin Plessala', 'Tsang Pui-Yee', 'Maddix Robinson', 'Zeno Robinson', 'Vivienne Rutherford', 'Violet Grace Schaffer', 'Mariel Sheets', 'Christian J. Simon', 'Artemis Snow', 'Sydney Thomas', 'Timothy Cheng', 'Benjamin Valic', 'Shondalia White', 'Cedric L. Williams']",,3.7,https://letterboxd.com//film/turning-red/
18,The Batman,2022,Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano', 'Jeffrey Wright', 'John Turturro', 'Peter Sarsgaard', 'Andy Serkis', 'Colin Farrell', 'Jayme Lawson', 'Gil Perez-Abraham', 'Peter McDonald', ""Con O'Neill"", 'Alex Ferns', 'Rupert Penry-Jones', 'Charlie Carver', 'Max Carver', 'Barry Keoghan', 'Kosha Engler', 'Archie Barnes', 'Janine Harouni', 'Hana Hrzic', 'Joseph Walker', 'Luke Roberts', 'Oscar Novak', 'Stella Stocker', 'Sandra Dickinson', 'Jack Bennett', 'Andre Nightingale', 'Richard James-Neale', 'Lorraine Tai', 'Joseph Balderrama', 'James Eeles', 'Dave Simon', 'Angela Yeoh', 'Leemore Marrett Jr.', 'Ezra Elliott', 'Itoya Osagiede', 'Stewart Alexander', 'Adam Rojko Vega', 'Heider Ali', 'Marcus Onilude', 'Elena Saurel', 'Ed Kear', 'Sid Sagar', 'Amanda Blake', 'Todd Boyce', 'Brandon Bassir', 'Will Austin', 'Chabris Napier-Lawrence', 'Douglas Russell', 'Phil Aizlewood', 'Mark Killeen', 'Philip Shaun McGuinness', 'Lorna Brown', 'Elliot Warren', 'Jay Lycurgo', 'Stefan Race', 'Elijah Baker', 'Craige Middleburg', 'Akie Kotabe', 'Spike Fearn', 'Urielle Klein-Mekongo', 'Bronson Webb', 'Madeleine Gray', 'Ste Johnston', 'Arthur Lee', 'Parry Glasspool', 'Jordan Coulson', 'Hadas Gold', 'Pat Battle', 'Bobby Cuza', 'Dean Meminger', 'Roma Torre', 'Mike Capozzola', 'Amanda Hurwitz', 'Joshua Eldridge-Smith', 'Daniel Rainford', 'Nathalie Armin', 'Jose Palma', 'Kazeem Tosin Amore', 'Rodrig Andrisan', 'Craig Douglas']",,4.05,https://letterboxd.com//film/the-batman/
19,Ciao Alberto,2021,McKenna Jean Harris,"['Jack Dylan Grazer', 'Marco Barricelli', 'Jacob Tremblay', 'Luigi La Monica', 'Arturo Sorino']",,3.69,https://letterboxd.com//film/ciao-alberto/
