,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
12,When the Cat Comes,1963,Vojtěch Jasný,"['Jan Werich', 'Emília Vášáryová', 'Vlastimil Brodský', 'Jiří Sovák', 'Vladimír Menšík', 'Jiřina Bohdalová', 'Karel Effa', 'Vlasta Chramostová', 'Alena Kreuzmannová', 'Stella Zázvorková', 'Jaroslav Mareš', 'Jana Werichová', 'Ladislav Fialka', 'Karel Vrtiška', 'Václav Babka', 'Michal Pospíšil', 'Antonín Krčmář', 'Pavel Brodský', 'Dana Dubanská', 'Alena Bradáčová', 'Vítězslav Černý', 'Ludmila Kovářová', 'Miloslav Janovský', 'Jiří Kaftan', 'Zdeňka Kratochvílová', 'Hana Lamková', 'Josef Lamka', 'Naděžda Munzarová', 'Jiří Středa', 'Eva Středová', 'Josef Podsedník', 'Jaroslava Zelenková', 'Jarmila Orlová', 'Ivan Lukeš', 'Božena Věchetová', 'Luka Rubanovičová', 'Josef Pivoňka', 'Miloslav Šindler', 'Luďa Marešová', 'Vladimír Dvořák', 'Richard Weber']",,3.82,https://letterboxd.com//film/when-the-cat-comes/
13,The Rider,2017,Chloé Zhao,"['Brady Jandreau', 'Tim Jandreau', 'Lilly Jandreau', 'Cat Clifford', 'Terri Dawn Pourier', 'Lane Scott', 'Tanner Langdeau', 'James Calhoon', 'Derrick Janis', 'Greg Barber', 'Steven DeWolfe', 'Leroy Pourier', 'Frank Steele', 'Allen Reddy', 'Jordon Slick Phelps', 'Donnie Whirlwind Horse', 'Marshall Byrne']",,3.9,https://letterboxd.com//film/the-rider/
14,Él,1953,Luis Buñuel,"['Arturo de Córdova', 'Delia Garcés', 'Aurora Walker', 'Carlos Martínez Baena', 'Manuel Dondé', 'Rafael Banquells', 'Fernando Casanova', 'José Pidal', 'Roberto Meyer', 'Luis Beristáin', 'León Barroso', 'Antonio Bravo', 'Ignacio Peón', 'Enedina Díaz de León', 'María Gentil Arcos', 'Leonor Gómez', 'María Herrero', 'Chel López', 'Álvaro Matute', 'Inés Murillo', 'José Muñoz', 'Isabel Herrera', 'Georgina González', 'Jorge Chesterking', 'Polo Ramos']",,3.96,https://letterboxd.com//film/el/
15,The Cow Who Sang a Song into the Future,2022,Francisca Alegría,"['Leonor Varela', 'Mía Maestro', 'Alfredo Castro', 'Marcial Tagle', 'Luis Dubó', 'Enzo Ferrada', 'María Velasquez', 'Laura Del Río', 'Camilo Arancibia', 'Cristián Celis']",,3.24,https://letterboxd.com//film/the-cow-who-sang-a-song-into-the-future/
16,After Yang,2021,Kogonada,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Haley Lu Richardson', 'Orlagh Cassidy', 'Ava DeMary', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Adeline Kerns', 'Ansley Kerns', 'Nana Mensah', 'An Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Mina Nishimura', 'Lily Ockwell', 'JC Shuster', 'Megan Williams', 'Taylor Ortega', 'Jae Kim']",,3.83,https://letterboxd.com//film/after-yang/
17,Columbus,2017,Kogonada,"['John Cho', 'Haley Lu Richardson', 'Michelle Forbes', 'Rory Culkin', 'Parker Posey', 'Erin Allegretti', 'Shani Salyers Stiles', 'Reen Vogel', 'Rosalyn R. Ross', 'Lindsey Shope', 'Jem Cohen', 'Caitlin Ewald', 'Jim Dougherty', 'Joseph Anthony Foronda', 'Alphaeus Green, Jr.', 'Wynn Reichert']",,3.93,https://letterboxd.com//film/columbus-2017/
18,Sansho the Bailiff,1954,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa', 'Eitarō Shindō', 'Akitake Kôno', 'Masahiko Tsugawa', 'Keiko Enami', 'Masao Shimizu', 'Ken Mitsuda', 'Kazukimi Okuni', 'Yōko Kozono', 'Noriko Tachibana', 'Ichirō Sugai', 'Teruko Omi', 'Chieko Naniwa', 'Kikue Mōri', 'Ryōsuke Kagawa', 'Kanji Koshiba', 'Shinobu Araki', 'Reiko Kongō', 'Shōzō Nanbu', 'Ryônosuke Azuma', 'Sumao Ishihara', 'Yukio Horikita', 'Jun Fujikawa', 'Sôji Shibata', 'Akira Shimizu', 'Midori Komatsu', 'Tokio Oki', 'Akira Shiga', 'Saburo Date', 'Goro Nakanishi', 'Ichirô Amano', 'Hachiro Okuni', 'Akiyoshi Kikuno']",,4.3,https://letterboxd.com//film/sansho-the-bailiff/
19,The Executioner,1963,Luis García Berlanga,"['Nino Manfredi', 'Emma Penella', 'José Isbert', 'José Luis López Vázquez', 'Ángel Álvarez', 'Guido Alberti', 'Julia Caba Alba', 'María Luisa Ponte', 'María Isbert', 'Erasmo Pascual', 'Xan das Bolas', 'José Orjas', 'José María Prada', 'Félix Fernández', 'Antonio Ferrandis', 'Lola Gaos', 'Santiago Ontañón', 'Alfredo Landa', ""José 'Saza' Sazatornil"", 'Agustín González', 'Goyo Lebrero', 'Sergio Mendizábal', 'Vicente Llosá', 'Chus Lampreave', 'José Luis Coll', 'José María Cordero', 'Pedro Beltrán', 'Rafael Hernández', 'Dolores García', 'Magdalena Mora', 'Enrique Pelayo', 'Enrique Tusquets', 'José Antón Rodríguez', 'Francisco Serrano', 'Antonio P. Costafreda', 'Agustín Zaragoza', 'Valentín Tornos', 'Antonio Alfonso Vidal', 'Lorenzo Nogueras', 'Emilio Alonso', 'Elena Santonja', 'Emilio Laguna', 'Magda Maldonado', 'Gonzalo Parra', 'Carmen Ripoll', 'Javier Escobar', 'Manuel Alexandre', 'Vicente Bañó', 'Elvira Quintillá']",,4.0,https://letterboxd.com//film/the-executioner/
20,Gertrud,1964,Carl Theodor Dreyer,"['Nina Pens Rode', 'Bendt Rothe', 'Ebbe Rode', 'Baard Owe', 'Axel Strøbye', 'Karl Gustav Ahlefeldt', 'Vera Gebuhr', 'Lars Knutzon', 'Anna Malberg', 'Edouard Mielche', 'William Knoblauch', 'Valsø Holm', 'Carl Johan Hviid']",,3.82,https://letterboxd.com//film/gertrud/
21,The Man Who Shot Liberty Valance,1962,John Ford,"['John Wayne', 'James Stewart', 'Vera Miles', 'Lee Marvin', ""Edmond O'Brien"", 'Andy Devine', 'Ken Murray', 'John Carradine', 'Jeanette Nolan', 'John Qualen', 'Willis Bouchey', 'Carleton Young', 'Woody Strode', 'Denver Pyle', 'Strother Martin', 'Lee Van Cleef', 'Robert F. Simon', 'O. Z. Whitehead', 'Paul Birch', 'Joseph Hoover', 'Charles Akins', 'John Barton', 'Rudy Bowman', 'Chet Brandenburg', 'Jerry Brown', 'George Bruggeman', 'Noble ""Kid"" Chissell', 'Russell Custer', 'Duke Fishman', 'Fritz Ford', 'Herman Hack', 'Jack Kenny', 'Richard LaMarr', 'Jack Lilley', 'Buddy Roosevelt', 'Jack Tornek', 'Sid Troy', 'Ralph Volkie', 'Max Wagner', 'Blackie Whiteford', 'Gertrude Astor', 'Helen Gibson', 'Eva Novak', 'Dorothy Phillips', 'Mario Arteaga', 'Chuck Hayward', 'Chuck Roberson', 'Jack Williams', 'Frank Baker', 'William Henry', 'Danny Borzage', 'Dick Cherney', 'Chuck Hamilton', 'Sam Harris', 'Lars Hensen', 'Tex Holden', 'Stuart Holmes', 'Jimmie Horan', 'Jack Perrin', ""Harry 'Snub' Pollard"", 'Robert Robinson', 'Scott Seaton', 'Rudy Sooter', 'Carl M. Leviness', 'King Mojave', 'Shug Fisher', 'Ben Frommer', 'Jack Pennick', 'Phil Schumacher', 'Tom Hennesy', ""Bryan 'Slim' Hightower"", 'Earle Hodgins', 'Michael Jeffers', 'Tom Smith', 'Cap Somers', 'Eddie Jauregui', 'Charles Morton', 'Ethan Laidlaw', 'Anna Lee', 'Ted Mapes', 'Montie Montana', 'Slim Talbot', 'Bob Morgan', 'Charles Seel', 'Bud Cokes', 'Jane Crowley', 'Larry Finley']",,4.15,https://letterboxd.com//film/the-man-who-shot-liberty-valance/
22,Ninotchka,1939,Ernst Lubitsch,"['Greta Garbo', 'Melvyn Douglas', 'Ina Claire', 'Bela Lugosi', 'Sig Ruman', 'Felix Bressart', 'Alexander Granach', 'Gregory Gaye', 'Rolfe Sedan', 'Edwin Maxwell', 'Richard Carle', 'George Davis', 'Dorothy Adams', 'Monya Andre', 'Nino Bellini', 'Wilda Bennett', 'Symona Boniface', 'Frederika Brown', 'Emilie Cabanne', 'Paul Ellis', 'Fred Farrell', 'Frank Fletcher', 'Bess Flowers', 'Mary Forbes', 'Jody Gilbert', 'Lawrence Grant', 'Jennifer Gray', 'Winifred Harris', 'Ray Hendricks', 'William Irving', 'Hans Joby', 'Charles Judels', 'Armand Kaliz', 'Ernst Lubitsch', 'Peggy Moran', 'Sandra Morgan', 'Lucille Pinson', 'Albert Pollet', 'Frank Reicher', 'Constantine Romanoff', 'Alexander Schoenberg', 'Harry Semels', 'Tamara Shayne', 'Florence Shirley', 'George Sorel', 'Edwin Stanley', 'Kay Stewart', 'George Tobias', 'Jacques Vanaire', 'Ellinor Vanderveer', 'Paul Weigel', 'Elizabeth Williams', 'Marek Windheim', 'Wolfgang Zilzer']",,3.89,https://letterboxd.com//film/ninotchka/
23,Top Hat,1935,Mark Sandrich,"['Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Erik Rhodes', 'Eric Blore', 'Helen Broderick', 'Lucille Ball', 'Gino Corrado', 'Leonard Mudie', ""Dennis O'Keefe"", 'Nick Thompson', 'Tom Ricketts']",,3.8,https://letterboxd.com//film/top-hat/
