,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
11,Apollo 10½: A Space Age Childhood,2022,Richard Linklater,"['Milo Coy', 'Jack Black', 'Zachary Levi', 'Glen Powell', 'Josh Wiggins', 'Lee Eddy', 'Bill Wise', ""Natalie L'Amoreaux"", 'Jessica Brynn Cohen', 'Sam Chipman', 'Danielle Guilbot', 'Larry Jack Dotson', 'Mona Lee Fultz', 'Jennifer Griffin', 'Holt Boggs', 'Reese Armstrong', 'Samuel Davis', 'Nick Stevenson', 'Brian Villalobos', 'David DeLao', 'Avery Joy Davis', 'Christian Moran', 'Nicholas Andrew Rice', 'Keslee Blalock', 'John Kaler', 'Gedeon Bring', 'Brent A. Riggs', 'P. Michael Hayes II', 'Michael Garza', 'Joey Garza', 'Wyatt Lindner', 'Andrew N Sears', 'Flint Nattinger', 'Brady Samman', 'Dustin Johnson', 'Natalie Joy', 'Suzanne Deal Booth', 'Chris Olson', 'William Carroll', 'Walter Cronkite', 'John F. Kennedy', 'Richard Nixon', 'Neil Armstrong', 'Buzz Aldrin', 'Janis Joplin', 'Bryce Eaton']",,3.57,https://letterboxd.com//film/apollo-10-a-space-age-childhood/
12,Cha Cha Real Smooth,2022,Cooper Raiff,"['Cooper Raiff', 'Dakota Johnson', 'Vanessa Burghardt', 'Evan Assante', 'Leslie Mann', 'Brad Garrett', 'Raúl Castillo', 'Amara Pedroso Saquel', 'Odeya Rush', 'Brooklyn Ramirez', ""Kelly O'Sullivan"", 'Javien Mercado', 'Chris Newman', 'John Paul Hurley', 'Davina Reid', 'Lisa Velten Smith', 'Corrie Danieley', 'Eamonn McElfresh', 'Mike Dennis', 'Alison Weisgall', 'Jonathan Visser', 'Tommy Lafitte', 'Jonathan Berry', 'Colton Osorio']",,3.84,https://letterboxd.com//film/cha-cha-real-smooth/
13,Fire of Love,2022,Sara Dosa,"['Miranda July', 'Katia Krafft', 'Maurice Krafft']",,4.02,https://letterboxd.com//film/fire-of-love-2022/
14,After Yang,2021,Kogonada,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Haley Lu Richardson', 'Orlagh Cassidy', 'Ava DeMary', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Adeline Kerns', 'Ansley Kerns', 'Nana Mensah', 'An Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Mina Nishimura', 'Lily Ockwell', 'JC Shuster', 'Megan Williams', 'Taylor Ortega', 'Jae Kim']",,3.82,https://letterboxd.com//film/after-yang/
15,Your Name.,2016,Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yuki', 'Nobunaga Shimazaki', 'Kaito Ishikawa', 'Kanon Tani', 'Masaki Terasoma', 'Sayaka Ohara', 'Kazuhiko Inoue', 'Chafurin', 'Yuka Kato', 'Kana Hanazawa', 'Shinya Hamazoe', 'Masami Nagasawa', 'Etsuko Ichihara', 'Yuka Terasaki', 'Takashi Onozuka', 'Kanami Satou', 'Shinjirō Gōda', 'Yasuhiro Kikuchi', 'Tamari Hinata', 'Nozomi Yamane', 'Yuuki Shin', 'Tatsuya Murakami', 'Nodoka Hasegawa', 'Baron Yamazaki', 'Suguru Inoue', 'Ryoko Usami', 'Miho Morisaki', 'Tsuyoshi Minamijima', 'Aika Oomae', 'Tomohiro Yamaguchi', 'Takayuki Nakatsukasa', 'Hiroki Matsukawa', 'Shouko Negoro', 'Yuki Ominami', 'Manami Hanawa', 'Miho Tabata', 'Eriko Tomioka', 'Eiji Yamamoto', 'Yôhei Namekawa']",,4.19,https://letterboxd.com//film/your-name/
16,All About Lily Chou-Chou,2001,Shunji Iwai,"['Hayato Ichihara', 'Shugo Oshinari', 'Yu Aoi', 'Ayumi Ito', 'Takao Osawa', 'Ryo Katsuji', 'Tomohiro Kaku', 'Issey Takahashi', 'Kazusa Matsuda', 'Takahito Hosoyamada', 'Chiyo Abe', 'Izumi Inamori', 'Miwako Ichikawa', 'Anri Ban', 'Takako Baba', 'Yoji Tanaka', 'Yoriko Kitahara', 'Shinji Higuchi', 'Kaori Fujii', 'Tetsu Sawaki']",,4.17,https://letterboxd.com//film/all-about-lily-chou-chou/
17,The Life of Jesus,1997,Bruno Dumont,"['David Douche', 'Marjorie Cottreel', 'Kader Chaatouf', 'Sébastien Delbaere', 'Samuel Boidin', 'Steve Smagghe', 'Sébastien Bailleul', 'Geneviève Cottreel', ""Fu'ad Aït Aattou""]",,3.51,https://letterboxd.com//film/the-life-of-jesus/
18,Roger & Me,1989,Michael Moore,"['Rhonda Britton', 'Fred Ross', 'Michael Moore', 'Roger B. Smith', 'Bob Eubanks', 'James Blanchard', 'Kaye Lani Rae Rafko Wilson', 'Pat Boone', 'Anita Bryant']",,3.68,https://letterboxd.com//film/roger-me/
19,The Music Room,1958,Satyajit Ray,"['Chhabi Biswas', 'Padmadevi', 'Kali Sarkar', 'Gangapada Basu', 'Pinaki Sengupta', 'Sardar Akhtar', 'Bismillah Khan', 'Salamat Ali Khan', 'Waheed Khan', 'Tulsi Lahiri', 'Tarapada Nandy', 'Roshan Kumari']",,4.01,https://letterboxd.com//film/the-music-room/
20,Au Revoir les Enfants,1987,Louis Malle,"['Gaspard Manesse', 'Raphael Fejtö', 'Francine Racette', 'Stanislas Carré de Malberg', 'Philippe Morier-Genoud', 'François Berléand', 'François Négret', 'Peter Fitz', 'Pascal Rivet', 'Richard Leboeuf', 'Xavier Legrand', 'Arnaud Henriet', 'Jean-Sébastien Chauvin', 'Luc Etienne', 'Daniel Edinger', 'Ami Flammer', 'Irène Jacob', 'Jean-Paul Dubarry', 'Jacqueline Staup', 'Jacqueline Paris', 'René Bouloc', 'Thomas Peter Friedl', 'Benoît Henriet', 'Marcel Bellot', 'Alain Clément', 'Michael Rottstock', 'Detlef Gericke', 'Michael Becker', 'Christian Sohn', 'Michel Ginot', 'Philippe Despaux', 'Albrecht Burkardt', 'Tim Burkert', 'Jürgen Ellinghaus', 'Sergio Kato']",,4.09,https://letterboxd.com//film/au-revoir-les-enfants/
